No,Tanggal,Pasar Rongtengah,Pasar Srimangunan,Rata-rata
166,6/15/2022,"Rp9,000","Rp8,000","Rp8,500"
167,6/16/2022,"Rp9,000","Rp8,000","Rp8,500"
168,6/17/2022,"Rp9,000","Rp8,000","Rp8,500"
169,6/18/2022,"Rp9,000","Rp8,000","Rp8,500"
170,6/19/2022,"Rp9,000","Rp8,000","Rp8,500"
171,6/20/2022,"Rp9,000","Rp8,000","Rp8,500"
172,6/21/2022,"Rp9,000","Rp8,000","Rp8,500"
173,6/22/2022,"Rp9,000","Rp8,000","Rp8,500"
174,6/23/2022,"Rp9,000","Rp8,000","Rp8,500"
175,6/24/2022,"Rp9,000","Rp8,000","Rp8,500"
176,6/25/2022,"Rp9,000","Rp8,000","Rp8,500"
177,6/26/2022,"Rp9,000","Rp8,000","Rp8,500"
178,6/27/2022,"Rp9,000","Rp8,000","Rp8,500"
179,6/28/2022,"Rp9,000","Rp8,000","Rp8,500"
180,6/29/2022,"Rp9,000","Rp8,000","Rp8,500"
181,6/30/2022,"Rp9,000","Rp8,000","Rp8,500"
182,7/1/2022,"Rp9,000","Rp8,500","Rp8,750"
183,7/2/2022,"Rp9,000","Rp8,500","Rp8,750"
184,7/3/2022,"Rp9,000","Rp9,000","Rp9,000"
185,7/4/2022,"Rp9,000","Rp9,000","Rp9,000"
186,7/5/2022,"Rp9,000","Rp9,000","Rp9,000"
187,7/6/2022,"Rp9,000","Rp9,000","Rp9,000"
188,7/7/2022,"Rp9,000","Rp9,000","Rp9,000"
189,7/8/2022,"Rp9,000","Rp9,000","Rp9,000"
190,7/9/2022,"Rp9,000","Rp9,000","Rp9,000"
191,7/10/2022,"Rp9,000","Rp9,000","Rp9,000"
192,7/11/2022,"Rp9,000","Rp9,000","Rp9,000"
193,7/12/2022,"Rp9,000","Rp9,000","Rp9,000"
194,7/13/2022,"Rp9,000","Rp8,000","Rp8,500"
195,7/14/2022,"Rp9,000","Rp8,000","Rp8,500"
196,7/15/2022,"Rp9,000","Rp8,000","Rp8,500"
197,7/16/2022,"Rp8,000","Rp8,000","Rp8,000"
198,7/17/2022,"Rp8,000","Rp8,000","Rp8,000"
199,7/18/2022,"Rp8,000","Rp8,000","Rp8,000"
200,7/19/2022,"Rp7,500","Rp8,000","Rp7,750"
201,7/20/2022,"Rp7,500","Rp8,000","Rp7,750"
202,7/21/2022,"Rp7,500","Rp7,500","Rp7,500"
203,7/22/2022,"Rp7,500","Rp7,500","Rp7,500"
204,7/23/2022,"Rp7,500","Rp7,500","Rp7,500"
205,7/24/2022,"Rp7,500","Rp7,500","Rp7,500"
206,7/25/2022,"Rp7,500","Rp7,500","Rp7,500"
207,7/26/2022,"Rp7,500","Rp7,500","Rp7,500"
208,7/27/2022,"Rp7,500","Rp7,500","Rp7,500"
209,7/28/2022,"Rp7,500","Rp7,500","Rp7,500"
210,7/29/2022,"Rp7,500","Rp7,500","Rp7,500"
211,7/30/2022,"Rp7,500","Rp7,500","Rp7,500"
212,7/31/2022,"Rp8,000","Rp8,000","Rp8,000"
213,8/1/2022,"Rp8,500",-,"Rp8,500"
214,8/2/2022,"Rp8,500","Rp8,500","Rp8,500"
215,8/3/2022,"Rp8,500","Rp8,500","Rp8,500"
216,8/4/2022,"Rp8,000","Rp8,500","Rp8,250"
217,8/5/2022,"Rp8,000","Rp8,000","Rp8,000"
218,8/6/2022,"Rp8,000","Rp8,000","Rp8,000"
219,8/7/2022,"Rp8,500","Rp8,500","Rp8,500"
220,8/8/2022,"Rp8,500","Rp8,500","Rp8,500"
221,8/9/2022,"Rp8,500","Rp8,500","Rp8,500"
222,8/10/2022,"Rp8,500","Rp8,500","Rp8,500"
223,8/11/2022,"Rp8,500","Rp8,500","Rp8,500"
224,8/12/2022,"Rp8,500","Rp9,000","Rp8,750"
225,8/13/2022,"Rp9,000","Rp9,000","Rp9,000"
226,8/14/2022,"Rp9,000","Rp9,000","Rp9,000"
